state_fips,state,state_abbr,zipcode,county,city,citylower
36,New york,NY,6390,Suffolk,,
36,New york,NY,063HH,Suffolk,,
36,New york,NY,10001,New York,New york,new york
36,New york,NY,10002,New York,New york,new york
36,New york,NY,10003,New York,New york,new york
36,New york,NY,10004,New York,Governors island,governors island
36,New york,NY,10005,New York,New york,new york
36,New york,NY,10006,New York,New york,new york
36,New york,NY,10007,New York,New york,new york
36,New york,NY,10009,New York,New york,new york
36,New york,NY,10010,New York,New york,new york
36,New york,NY,10011,New York,New york,new york
36,New york,NY,10012,New York,New york,new york
36,New york,NY,10013,New York,New york,new york
36,New york,NY,10014,New York,New york,new york
36,New york,NY,10016,New York,New york,new york
36,New york,NY,10017,New York,New york,new york
36,New york,NY,10018,New York,New york,new york
36,New york,NY,10019,New York,New york,new york
36,New york,NY,10020,New York,New york,new york
36,New york,NY,10021,New York,New york,new york
36,New york,NY,10022,New York,New york,new york
36,New york,NY,10023,New York,New york,new york
36,New york,NY,10024,New York,New york,new york
36,New york,NY,10025,New York,New york,new york
36,New york,NY,10026,New York,New york,new york
36,New york,NY,10027,New York,New york,new york
36,New york,NY,10028,New York,New york,new york
36,New york,NY,10029,New York,New york,new york
36,New york,NY,10030,New York,New york,new york
36,New york,NY,10031,New York,New york,new york
36,New york,NY,10032,New York,New york,new york
36,New york,NY,10033,New York,New york,new york
36,New york,NY,10034,New York,New york,new york
36,New york,NY,10035,New York,New york,new york
36,New york,NY,10036,New York,New york,new york
36,New york,NY,10037,New York,New york,new york
36,New york,NY,10038,New York,New york,new york
36,New york,NY,10039,New York,New york,new york
36,New york,NY,10040,New York,New york,new york
36,New york,NY,10041,New York,New york,new york
36,New york,NY,10044,New York,New york,new york
36,New york,NY,10048,New York,New york,new york
36,New york,NY,10069,New York,Zcta 10069,zcta 10069
36,New york,NY,100HH,New York,New york,new york
36,New york,NY,10103,New York,New york,new york
36,New york,NY,10111,New York,New york,new york
36,New york,NY,10112,New York,New york,new york
36,New york,NY,10115,New York,New york,new york
36,New york,NY,10119,New York,New york,new york
36,New york,NY,10128,New York,New york,new york
36,New york,NY,10152,New York,New york,new york
36,New york,NY,10153,New York,New york,new york
36,New york,NY,10154,New York,New york,new york
36,New york,NY,10162,New York,New york,new york
36,New york,NY,10165,New York,New york,new york
36,New york,NY,10167,New York,New york,new york
36,New york,NY,10169,New York,New york,new york
36,New york,NY,10170,New York,New york,new york
36,New york,NY,10171,New York,New york,new york
36,New york,NY,10172,New York,New york,new york
36,New york,NY,10173,New York,New york,new york
36,New york,NY,10177,New York,New york,new york
36,New york,NY,10271,New York,New york,new york
36,New york,NY,10278,New York,New york,new york
36,New york,NY,10279,New York,New york,new york
36,New york,NY,10280,New York,New york,new york
36,New york,NY,10282,New York,New york,new york
36,New york,NY,102HH,New York,Zcta 102hh,zcta 102hh
36,New york,NY,10301,Richmond,Staten island,staten island
36,New york,NY,10302,Richmond,Staten island,staten island
36,New york,NY,10303,Richmond,Staten island,staten island
36,New york,NY,10304,Richmond,Staten island,staten island
36,New york,NY,10305,Richmond,Staten island,staten island
36,New york,NY,10306,Richmond,Staten island,staten island
36,New york,NY,10307,Richmond,Staten island,staten island
36,New york,NY,10308,Richmond,Staten island,staten island
36,New york,NY,10309,Richmond,Staten island,staten island
36,New york,NY,10310,Richmond,Staten island,staten island
36,New york,NY,10312,Richmond,Staten island,staten island
36,New york,NY,10314,Richmond,Staten island,staten island
36,New york,NY,103HH,Richmond,Zcta 103hh,zcta 103hh
36,New york,NY,10451,Bronx,Bronx,bronx
36,New york,NY,10452,Bronx,Bronx,bronx
36,New york,NY,10453,Bronx,Bronx,bronx
36,New york,NY,10454,Bronx,Bronx,bronx
36,New york,NY,10455,Bronx,Bronx,bronx
36,New york,NY,10456,Bronx,Bronx,bronx
36,New york,NY,10457,Bronx,Bronx,bronx
36,New york,NY,10458,Bronx,Bronx,bronx
36,New york,NY,10459,Bronx,Bronx,bronx
36,New york,NY,10460,Bronx,Bronx,bronx
36,New york,NY,10461,Bronx,Bronx,bronx
36,New york,NY,10462,Bronx,Bronx,bronx
36,New york,NY,10463,Bronx,Bronx,bronx
36,New york,NY,10464,Bronx,Bronx,bronx
36,New york,NY,10465,Bronx,Bronx,bronx
36,New york,NY,10466,Bronx,Bronx,bronx
36,New york,NY,10467,Bronx,Bronx,bronx
36,New york,NY,10468,Bronx,Bronx,bronx
